generic,original_generic,category
Wasps are social insects.,wasps are social insects.,min
Snakes incubate their eggs by coiling their bodies on the nest of eggs and shivering.,snakes incubate their eggs by coiling their bodies on the nest of eggs and shivering.,min
Lizards are live bearers .,lizards are live bearers .,min
Crocodiles possess sacs.,crocodiles possess sacs.,min
Snakes eat slugs.,snakes eat slugs.,min
Tortoises eat grass.,tortoises eat grass.,min
Wasps eat cockroaches and others eat ants.,wasps eat cockroaches and others eat ants.,min
Snakes live in grass.,snakes live in grass.,min
Crocodiles dig holes.,crocodiles dig holes.,min
Cuban crocodiles survive in numbers.,cuban crocodiles survive in numbers.,min
Rat snakes eat small lizards.,rat snakes eat small lizards.,min
Tortoises have carapaces.,tortoises have carapaces.,min
Diurnal lizards have excellent eyesights.,diurnal lizards have excellent eyesights.,min
Asparagus plants produce fruit.,asparagus plants produce fruit.,min
Lizards eat deer.,lizards eat deer.,min
Solitary wasps make galls .,"solitary wasps make galls , which are abnormal growths on plants .",min
Harmless snakes eat snakes.,harmless snakes eat snakes.,min
Snakes live in leaves.,snakes live in leaves.,min
Snakes consume own tails.,snakes consume own tails.,min
Lizards occur in forests.,lizards occur in forests.,min
Green iguanas have small horns on their snouts.,green iguanas have small horns on their snouts.,min
Sea turtles have flippers.,sea turtles have flippers.,min
Crocodiles live in farms.,crocodiles live in farms.,min
Snakes enter seawater.,snakes enter seawater.,min
Sea turtles eat jellyfish.,sea turtles eat jellyfish.,min
Sea turtles feed on jellyfish.,sea turtles feed on jellyfish.,min
Snakes eat stoats.,snakes eat stoats.,min
Snakes play in water.,snakes play in water.,min
Little snakes have mites.,little snakes have mites.,min
Salamanders live in redwoods.,salamanders live in redwoods.,min
Frogs possess adhesive discs.,frogs possess adhesive discs.,min
Frogs attract predators.,frogs attract predators.,min
Frogs also eat small mammals and birds.,frogs also eat small mammals and birds.,min
Frogs live in finland.,frogs live in finland.,min
Bullfrogs rely on prey.,bullfrogs rely on prey.,min
Frogs cause cancer.,frogs cause cancer.,min
Frogs protect themselves with poisonous fluids that are secreted onto their skin.,frogs protect themselves with poisonous fluids that are secreted onto their skin.,min
Frogs have no tongue and just stuff food into their mouths with their hands.,frogs have no tongue and just stuff food into their mouths with their hands.,min
Frogs live in wet meadows.,frogs live in wet meadows.,min
Newts live in moist habitats.,newts live in moist habitats.,min
Frogs run across surfaces.,frogs run across surfaces.,min
Frogs protect territory.,frogs protect territory.,min
Tree frogs have toe pads.,tree frogs have toe pads.,min
Salamanders appear pale due to the lack of melanophores.,salamanders appear pale due to the lack of melanophores.,min
Frogs raise tadpoles.,frogs raise tadpoles.,min
Bullfrogs live in water.,bullfrogs live in water.,min
Salamanders produce offspring.,salamanders produce offspring.,min
Frogs live on environments.,frogs live on environments.,min
Frogs feed in lakes.,frogs feed in lakes.,min
Tiger salamanders leave water.,tiger salamanders leave water.,min
Green salamanders have distribution.,green salamanders have distribution.,min
Frogs change color.,frogs change color.,min
Frogs eat cave crickets.,frogs eat cave crickets.,min
Bullfrogs eat dive beetles.,bullfrogs eat dive beetles.,min
Salamanders enter wetland.,salamanders enter wetland.,min
Frogs live in regions.,frogs live in regions.,min
Frogs die from skin diseases.,frogs die from skin diseases.,min
Frogs eat ants.,frogs eat ants.,min
Salamanders regrow limbs.,salamanders regrow limbs.,min
American toads feed at nights.,american toads feed at nights.,min
Tree frogs have pads.,tree frogs have pads.,min
Frogs can change their color to adapt to their surroundings.,frogs can change their color to adapt to their surroundings.,min
Frogs live in ditches.,frogs live in ditches.,min
Frogs possess discs.,frogs possess discs.,min
Salamanders have reproductive strategies.,salamanders have reproductive strategies.,min
Frogs have large toe pads.,frogs have large toe pads.,min
Frogs conserve body fluid.,frogs conserve body fluid.,min
Tree frogs produce acid.,tree frogs produce acid.,min
Frogs excrete urea.,frogs excrete urea.,min
Poisonous frogs are red and black.,"poisonous frogs are red and black, yellow and black, and blue and black.",min
Frogs spread hind legs.,frogs spread hind legs.,min
Salamanders have limbs that a greatly reduced or even lack hind limbs.,salamanders have limbs that a greatly reduced or even lack hind limbs.,min
Frogs live on islands.,frogs live on islands.,min
Tiger salamanders have noses.,tiger salamanders have noses.,min
Larval salamanders occur at density.,larval salamanders occur at density.,min
Salamanders live in forests.,salamanders live in forests.,min
Frogs have testes.,frogs have testes.,min
Frogs have pads.,frogs have pads.,min
Aquatic salamanders eat fish.,aquatic salamanders eat fish.,min
Frogs eat frogs.,frogs eat frogs.,min
Frogs lose weight.,frogs lose weight.,min
Salamanders emerge from burrows.,salamanders emerge from burrows.,min
Salamanders successfully use the tail for distracting the attention of predators.,salamanders successfully use the tail for distracting the attention of predators.,min
Tree frogs have sticky pads.,tree frogs have sticky pads.,min
Tree frogs have large toe pads.,tree frogs have large toe pads.,min
Frogs live in alberta.,frogs live in alberta.,min
Frogs make toxins.,frogs make toxins.,min
Tree frogs survive for months.,tree frogs survive for months.,min
Frogs live in minnesota.,frogs live in minnesota.,min
Frogs require soil.,frogs require soil.,min
Salamanders pass through stages.,salamanders pass through stages.,min
Salamanders live in ponds.,salamanders live in ponds.,min
Salamanders eat fish.,salamanders eat fish.,min
Fire salamanders have life cycle phases.,fire salamanders have life cycle phases.,min
Salamanders eat frogs.,"salamanders eat frogs, mice and even other salamanders.",min
Salamanders rely on rain.,salamanders rely on rain.,min
Salamanders eat larvae.,salamanders eat larvae.,min
Salamanders have distribution.,salamanders have distribution.,min
Frogs have teeth.,frogs have teeth.,min
Salamanders eat small fish.,salamanders eat small fish.,min
Bullfrogs eat great dive beetles.,bullfrogs eat great dive beetles.,min
Bark frogs eat cave crickets.,bark frogs eat cave crickets.,min
Salamanders spend their entire lives in the water.,salamanders spend their entire lives in the water.,min
Bullfrogs rely on aquatic prey.,bullfrogs rely on aquatic prey.,min
Marine toads eat toads.,marine toads eat toads.,min
Salamanders are inside ponds.,salamanders are inside ponds.,min
Bullfrogs eat larvae.,bullfrogs eat larvae.,min
Salamanders consume larvae.,salamanders consume larvae.,min
Frogs retain tails.,frogs retain tails.,min
Terrestrial salamanders migrate to breed ponds.,terrestrial salamanders migrate to breed ponds.,min
Salamanders are lungless.,"salamanders are lungless, and respiration occurs through the skin or external gills.",min
Salamanders sit on limbs.,salamanders sit on limbs.,min
Salamanders adapt to niches.,salamanders adapt to niches.,min
Frogs have a long sticky tongue they use to grab flying insects like fruit flies.,frogs have a long sticky tongue they use to grab flying insects like fruit flies.,min
Frogs live in forests.,frogs live in forests.,min
Frogs can survive in conditions well below freezing.,frogs can survive in conditions well below freezing.,min
Purple frogs feed on termites.,purple frogs feed on termites.,min
Fire salamanders have phases.,fire salamanders have phases.,min
Salamanders are mostly black while others are mostly yellow.,salamanders are mostly black while others are mostly yellow.,min
Frogs do have teeth.,frogs do have teeth.,min
Bark frogs eat crickets.,bark frogs eat crickets.,min
Frogs can even call under water.,frogs can even call under water.,min
Frogs have disks.,frogs have disks.,min
Juvenile salamanders emerge from burrows.,juvenile salamanders emerge from burrows.,min
Frogs fill ecological niches.,frogs fill ecological niches.,min
Frogs have insects.,frogs have insects.,min
Frogs live in trees.,frogs live in trees.,min
Frogs live in rainforests.,frogs live in rainforests.,min
Dead frogs eat dragonflies.,dead frogs eat dragonflies.,min
Salamanders occur at elevation.,salamanders occur at elevation.,min
Frogs have chambers.,frogs have chambers.,min
Salamanders live in homes.,salamanders live in homes.,min
Frogs float in ponds.,frogs float in ponds.,min
Frogs burrow into the soil in the summer or winter.,frogs burrow into the soil in the summer or winter.,min
Frogs feed on termites and ants underground.,frogs feed on termites and ants underground.,min
Frogs have tongues that are long and sticky that can be used to catch bugs.,frogs have tongues that are long and sticky that can be used to catch bugs.,min
Frogs live in malaysia.,frogs live in malaysia.,min
Frogs occur in australia.,frogs occur in australia.,min
Frogs eat grass.,frogs eat grass.,min
Frogs use camouflage to avoid predators.,frogs use camouflage to avoid predators.,min
Salamanders can regenerate whole limbs.,salamanders can regenerate whole limbs.,min
Salamanders are member of families.,salamanders are member of families.,min
Salamanders have unusual reproductive strategies.,salamanders have unusual reproductive strategies.,min
Frogs have a pineal organ similar to the third eye of reptiles.,frogs have a pineal organ similar to the third eye of reptiles.,min
Frogs eat fruit flies or other flying insects.,frogs eat fruit flies or other flying insects.,min
Frogs thrive in hawaii.,frogs thrive in hawaii.,min
Frogs eat moths.,frogs eat moths.,min
Frogs eat mealworms.,frogs eat mealworms.,min
Salamanders adapt to specific niches.,salamanders adapt to specific niches.,min
Frogs live on gardens.,frogs live on gardens.,min
Frogs undergo direct development and hatch as miniature adults.,frogs undergo direct development and hatch as miniature adults.,min
Salamanders feed on each others' eggs.,salamanders feed on each others' eggs.,min
Tiger salamanders return to water.,tiger salamanders return to water.,min
Frogs lose skin.,frogs lose skin.,min
Captive frogs live up to years.,captive frogs live up to years.,min
Frogs live on grass.,frogs live on grass.,min
Aquatic salamanders eat small fish.,aquatic salamanders eat small fish.,min
Salamanders survive infection.,salamanders survive infection.,min
Frogs eat arthropods.,frogs eat arthropods.,min
Frogs die from diseases.,frogs die from diseases.,min
Salamanders use skin.,salamanders use skin.,min
Frogs sit on eggs.,frogs sit on eggs.,min
Salamanders live outside of caves under rocks or moist logs.,salamanders live outside of caves under rocks or moist logs.,min
Frogs wait for prey.,frogs wait for prey.,min
Giant salamanders occur at density.,giant salamanders occur at density.,min
Tree frogs possess adhesive discs.,tree frogs possess adhesive discs.,min
Tree frogs have disks.,tree frogs have disks.,min
Frogs live in meadows.,frogs live in meadows.,min
Salamanders develop spots.,salamanders develop spots.,min
Salamanders occupy interiors.,salamanders occupy interiors.,min
Newts spend their entire juvenile life as tadpoles and never go through a terrestrial stage.,newts spend their entire juvenile life as tadpoles and never go through a terrestrial stage.,min
Salamanders consume insect larvae.,salamanders consume insect larvae.,min
Gopher frogs leave burrows.,gopher frogs leave burrows.,min
Frogs eat small mammals and birds.,frogs eat small mammals and birds.,min
Salamanders live in pools.,salamanders live in pools.,min
Terrestrial salamanders migrate to ponds.,terrestrial salamanders migrate to ponds.,min
Salamanders live in crevices.,salamanders live in crevices.,min
Frogs retain tadpole tails.,frogs retain tadpole tails.,min
Frogs live in asia.,frogs live in asia.,min
Giant salamanders occur at high density.,giant salamanders occur at high density.,min
Salamanders are breed in late springs.,salamanders are breed in late springs.,min
Salamanders prefer slopes.,salamanders prefer slopes.,min
Salamanders grow up to feet.,salamanders grow up to feet.,min
Frogs have toxic skin.,frogs have toxic skin.,min
Frogs have ovaries.,frogs have ovaries.,min
Salamanders occur at high density.,salamanders occur at high density.,min
Frogs sit on limbs.,frogs sit on limbs.,min
Frogs produce poison.,frogs produce poison.,min
Caecilians are capable of inflicting painful bites and have poisonous secretions.,caecilians are capable of inflicting painful bites and have poisonous secretions.,min
Salamanders rely on winter rain.,salamanders rely on winter rain.,min
Frogs have adhesive pads.,frogs have adhesive pads.,min
Salamanders have undersides.,salamanders have undersides.,min
Marine toads eat frog toads.,marine toads eat frog toads.,min
Salamanders secrete fluid.,salamanders secrete fluid.,min
Salamanders retain gills.,salamanders retain gills.,min
Salamanders find in rivers.,salamanders find in rivers.,min
Salamanders survive in moist environments.,salamanders survive in moist environments.,min
Salamanders migrate to ponds.,salamanders migrate to ponds.,min
Salamanders live in lakes.,salamanders live in lakes.,min
Salamanders have tongues.,salamanders have tongues.,min
Salamanders seize prey.,salamanders seize prey.,min
Frogs have different lifestyle.,frogs have different lifestyle.,min
Salamanders seek mates.,salamanders seek mates.,min
Frogs eat lizards.,frogs eat lizards.,min
Salamanders have phases.,salamanders have phases.,min
Salamanders are paedomorphic .,salamanders are paedomorphic .,min
Frogs occur in trees.,frogs occur in trees.,min
Frogs eat salamanders.,frogs eat salamanders.,min
Salamanders rely on early winter rain.,salamanders rely on early winter rain.,min
Salamanders are poisonous.,salamanders are poisonous.,min
Salamanders coil their bodies tightly to prevent evaporative water loss.,salamanders coil their bodies tightly to prevent evaporative water loss.,min
Giant salamanders grow up to feet.,giant salamanders grow up to feet.,min
Frogs can live for two years.,frogs can live for two years.,min
Salamanders are breed in springs.,salamanders are breed in springs.,min
Frogs leave burrows.,frogs leave burrows.,min
Frogs have sharp teeth.,frogs have sharp teeth.,min
Frogs even release a fluid as a form of self defense when handled.,frogs even release a fluid as a form of self defense when handled.,min
Frogs are highly aquatic.,"frogs are highly aquatic, while others are better adapted to terrestrial habitats.",min
Frogs have poison in their skin.,frogs have poison in their skin.,min
Newts live in habitats.,newts live in habitats.,min
Frogs also secrete a toxic or distasteful substance from their skin.,frogs also secrete a toxic or distasteful substance from their skin.,min
Frogs eat butterflies.,frogs eat butterflies.,min
Salamanders eat animals.,salamanders eat animals.,min
Frogs produce toxic poison.,frogs produce toxic poison.,min
Salamanders use their pineal body to perceive polarised light.,"salamanders use their pineal body to perceive polarised light, which helps navigation.",min
Salamanders pass through tadpole stages.,salamanders pass through tadpole stages.,min
Frogs possess hairlike filaments on their legs.,frogs possess hairlike filaments on their legs.,min
Frogs live in mud.,frogs live in mud.,min
Frogs can climb trees and have sticky pads on their toes.,frogs can climb trees and have sticky pads on their toes.,min
Frogs have eardrums.,frogs have eardrums.,min
Frogs carry urine.,frogs carry urine.,min
Frogs migrate to lakes.,frogs migrate to lakes.,min
Salamanders live in gardens.,salamanders live in gardens.,min
Frogs hide in holes.,frogs hide in holes.,min
Frogs survive for months.,frogs survive for months.,min
Salamanders have noses.,salamanders have noses.,min
Salamanders feed on lice.,salamanders feed on lice.,min
Salamanders produce hybrid offspring.,salamanders produce hybrid offspring.,min
Salamanders only have one set of legs.,salamanders only have one set of legs.,min
Salamanders feed on wood lice.,salamanders feed on wood lice.,min
Salamanders have orange undersides.,salamanders have orange undersides.,min
Salamanders have life cycle phases.,salamanders have life cycle phases.,min
Frogs have sticky pads.,frogs have sticky pads.,min
Aquatic salamanders retain gills.,aquatic salamanders retain gills.,min
Salamanders survive in environments.,salamanders survive in environments.,min
Salamanders leave water.,salamanders leave water.,min
Salamanders return to water.,salamanders return to water.,min
Frogs live in tanks.,frogs live in tanks.,min
Salamanders swim but most stay on land.,salamanders swim but most stay on land.,min
Frogs live for years.,frogs live for years.,min
Frogs live up to years.,frogs live up to years.,min
Frogs have toe pads.,frogs have toe pads.,min
Salamanders migrate to breed ponds.,salamanders migrate to breed ponds.,min
Frogs live in wetland.,frogs live in wetland.,min
Salamanders share ponds.,salamanders share ponds.,min
Frogs have lifestyle.,frogs have lifestyle.,min
Salamanders live in trees.,salamanders live in trees.,min
Lungless salamanders sever their tail.,"lungless salamanders sever their tail, like a lizard, as a diversion when threatened.",min
Green salamanders are breed in springs.,green salamanders are breed in springs.,min
Marsupial frogs carry their eggs and developing tadpoles under a skin flap on their back.,marsupial frogs carry their eggs and developing tadpoles under a skin flap on their back.,min
Salamanders stay in the water.,"salamanders stay in the water, but look like adults.",min
Frogs occur in forests.,frogs occur in forests.,min
Frogs use chemicals.,frogs use chemicals.,min
Salamanders thrive in wetland.,salamanders thrive in wetland.,min
Frogs feed on termites.,frogs feed on termites.,min
Salamanders occur at density.,salamanders occur at density.,min
Frogs have small adhesive pads.,frogs have small adhesive pads.,min
Salamanders are mostly black while others are mostly yellow .,salamanders are mostly black while others are mostly yellow .,min
Frogs carry blood.,frogs carry blood.,min
Frogs eat dragonflies.,frogs eat dragonflies.,min
Frogs carry viruses.,frogs carry viruses.,min
Salamanders secrete toxic fluid.,salamanders secrete toxic fluid.,min
Newts eat insects.,newts eat insects.,min
Salamanders swim in lakes.,salamanders swim in lakes.,min
Sheep eat infect mites.,sheep eat infect mites.,min
Opossums reside in forest areas.,opossums reside in forest areas.,min
Panther chameleons reach maturity.,panther chameleons reach maturity.,min
Squirrels live in meadows.,squirrels live in meadows.,min
Panthers swim in water.,panthers swim in water.,min
Cell respiration occurs in organelles.,cell respiration occurs in organelles.,min
Dolphins also eat crustaceans and invertebrates.,dolphins also eat crustaceans and invertebrates.,min
Vampire bats regurgitate blood meals.,vampire bats regurgitate blood meals.,min
Ferrets have a buff coat with light markings.,ferrets have a buff coat with light markings.,min
Squirrels eat eggs.,squirrels eat eggs.,min
Dogs use their mouths out of fear or frustration.,"dogs use their mouths out of fear or frustration, which can indicate a problem with aggression.",min
Brown bears have proteins.,brown bears have proteins.,min
Nocturnal bats eat fruit.,nocturnal bats eat fruit.,min
Bears adapt to diets.,bears adapt to diets.,min
Monkeys live in islands.,monkeys live in islands.,min
Bats regurgitate blood meals.,bats regurgitate blood meals.,min
Rats live up to months.,rats live up to months.,min
Rats kill birds.,rats kill birds.,min
Caterpillars replace skin.,caterpillars replace skin.,min
Bats eat animals.,"bats eat animals, frogs, ants, and fish.",min
Ferrets have watery discharge.,ferrets have watery discharge.,min
Chimpanzees die in mountains.,chimpanzees die in mountains.,min
Mice infect livestock.,mice infect livestock.,min
Monkeys survive in natural habitats.,monkeys survive in natural habitats.,min
Oxide kills bacteria.,oxide kills bacteria.,min
Chameleons change colors to hide themselves.,chameleons change colors to hide themselves.,min
Dugongs have intestines.,dugongs have intestines.,min
Chipmunks live in burrows.,chipmunks live in burrows.,min
Dogs carry viruses.,dogs carry viruses.,min
Dolphins reach ages.,dolphins reach ages.,min
Sloths eat tree leaves.,sloths eat tree leaves.,min
Chimpanzees remain mothers.,chimpanzees remain mothers.,min
Dogs are diagnosed with diseases.,dogs are diagnosed with diseases.,min
Guinea pigs have fur.,guinea pigs have fur.,min
Tunicates use cilia.,tunicates use cilia.,min
Noxious compounds are produced by plants.,noxious compounds are produced by plants.,min
Oxytocins are produced by glands.,oxytocins are produced by glands.,min
Mice invade burrows.,mice invade burrows.,min
Dolphins feed in environments.,dolphins feed in environments.,min
Panthers possess babies.,panthers possess babies.,min
Weasels feed on rodents.,weasels feed on rodents.,min
Wolves eat dogs.,wolves eat dogs.,min
Bats consume vast numbers of insects and are valuable pest-controllers.,bats consume vast numbers of insects and are valuable pest-controllers.,min
Chimpanzees have distribution.,chimpanzees have distribution.,min
Caterpillars appear in holes.,caterpillars appear in holes.,min
Polar bears spend part of the year on land.,polar bears spend part of the year on land.,min
Platypuses have vaginas.,platypuses have vaginas.,min
Nutrias construct burrows.,nutrias construct burrows.,min
Tigers eat orangutans.,tigers eat orangutans.,min
Panda bears have thumbs.,panda bears have thumbs.,min
Vertebrates also operate as pollinators of ecologically and economically important plants.,vertebrates also operate as pollinators of ecologically and economically important plants.,min
Caracals detect prey.,caracals detect prey.,min
Camel spiders share common ancestors.,camel spiders share common ancestors.,min
Oxygen has partial negative charge.,oxygen has partial negative charge.,min
Carbohydrates are produced by leaves.,carbohydrates are produced by leaves.,min
Bats rely on plants.,bats rely on plants.,min
Elephants feed on mangroves.,elephants feed on mangroves.,min
Muskrats live in burrows on the water banks .,muskrats live in burrows on the water banks .,min
Steppe polecats have burrows.,steppe polecats have burrows.,min
Minks have short legs.,minks have short legs.,min
Bats eat bugs others eat fruit and drink animal blood.,bats eat bugs others eat fruit and drink animal blood.,min
Cheetahs eat rabbits.,cheetahs eat rabbits.,min
Dogs resemble animals.,dogs resemble animals.,min
Elephants grow molars.,elephants grow molars.,min
Water bears eat microscopic animals.,"water bears eat microscopic animals, while others consume algae.",min
Vibrations are skeletal .,"vibrations are skeletal , i.e. they involve almost the whole molecule.",min
Leopards kill goats.,leopards kill goats.,min
Horses can become hyperactive when they are deficient in certain minerals and vitamins.,horses can become hyperactive when they are deficient in certain minerals and vitamins.,min
Foxes use claws.,foxes use claws.,min
Caterpillars feed on willows.,caterpillars feed on willows.,min
Mice carry organisms.,mice carry organisms.,min
Deer live in ground.,deer live in ground.,min
Lions have limbs.,lions have limbs.,min
Female gazelles reproduce during years.,female gazelles reproduce during years.,min
Tapeworms infect dogs.,tapeworms infect dogs.,min
Antelopes have structures.,antelopes have structures.,min
Hares eat moss.,hares eat moss.,min
Dogs carry bacteria.,dogs carry bacteria.,min
Bears have natural predators.,bears have natural predators.,min
Walruses feed on organisms.,walruses feed on organisms.,min
Lemmings survive on vegetation.,lemmings survive on vegetation.,min
Chimpanzees infect with parasites.,chimpanzees infect with parasites.,min
Caterpillars chew fruit.,caterpillars chew fruit.,min
Bats live in illinois.,bats live in illinois.,min
Giraffes excrete waste.,giraffes excrete waste.,min
Mice walk on legs.,mice walk on legs.,min
Foxes eat tarantulas.,foxes eat tarantulas.,min
Mice eat leaves.,mice eat leaves.,min
Catheters insert into colons.,catheters insert into colons.,min
Badgers eat venomous snakes.,badgers eat venomous snakes.,min
Edible dormouses die from starvation.,edible dormouses die from starvation.,min
Bears have a white patch on their chests.,bears have a white patch on their chests.,min
Bears have reproductive potential.,bears have reproductive potential.,min
Forest elephants inhabit congo basins.,forest elephants inhabit congo basins.,min
Anteaters have fingers.,anteaters have fingers.,min
Chimpanzees live in facilities.,chimpanzees live in facilities.,min
Lynxes consume large animals.,lynxes consume large animals.,min
Bobcats live in deserts.,bobcats live in deserts.,min
Chimpanzees occupy woodlands.,chimpanzees occupy woodlands.,min
Voles eat roots.,voles eat roots.,min
Dolphins swim in bays.,dolphins swim in bays.,min
Foxes rest on plants.,foxes rest on plants.,min
Hedgehog mushrooms have teeth.,hedgehog mushrooms have teeth.,min
Shrews carry diseases.,shrews carry diseases.,min
Atopic cats have an accompanying peripheral lymphadenopathy or circulating eosinophilia.,atopic cats have an accompanying peripheral lymphadenopathy or circulating eosinophilia.,min
Pigs have tusks.,pigs have tusks.,min
Panthers eat diets.,panthers eat diets.,min
Brown rats survive in areas.,brown rats survive in areas.,min
Hamsters feed cholesterol diets.,hamsters feed cholesterol diets.,min
Caterpillars even change their disguise as they molt and grow.,caterpillars even change their disguise as they molt and grow.,min
Hares swim across narrow streams.,hares swim across narrow streams.,min
Bats are herbivores.,bats are herbivores.,min
Mice live in fields.,mice live in fields.,min
Lions live in dry places.,lions live in dry places.,min
Lions kill crocodiles.,lions kill crocodiles.,min
Lions eat fish.,lions eat fish.,min
Pigment contains atoms.,pigment contains atoms.,min
Voles have reproductive potential.,voles have reproductive potential.,min
Ferrets live in prairie.,ferrets live in prairie.,min
Coyotes kill dogs.,coyotes kill dogs.,min
Dandelions contain vitamins.,dandelions contain vitamins.,min
Organic molecules contain triple covalent bonds.,organic molecules contain triple covalent bonds.,min
Ferrets like to put their heads in their water bowls.,"ferrets like to put their heads in their water bowls, covering their ears.",min
Vole colonies consist of animals.,vole colonies consist of animals.,min
Anaerobic respiration occurs in absence.,anaerobic respiration occurs in absence.,min
Ferrets can suffer from scaly.,"ferrets can suffer from scaly, itchy skin.",min
Hamsters develop intestinal infection.,hamsters develop intestinal infection.,min
Dogs transmit viruses.,dogs transmit viruses.,min
Arctic foxes eat berries.,arctic foxes eat berries.,min
Chimpanzees live in laboratories.,chimpanzees live in laboratories.,min
Tent caterpillars destroy trees.,tent caterpillars destroy trees.,min
Laboratory animals cause cancer.,laboratory animals cause cancer.,min
Vertebrates eat fruit.,vertebrates eat fruit.,min
Caterpillars are considered pests because of the damage they do to crops.,caterpillars are considered pests because of the damage they do to crops.,min
Dolphins use sponges.,dolphins use sponges.,min
Servals eat hares.,servals eat hares.,min
Pigs feed protein diets.,pigs feed protein diets.,min
Sperm whales eat large sharks.,sperm whales eat large sharks.,min
Bats live on roofs.,bats live on roofs.,min
Caterpillars eat milkweeds.,caterpillars eat milkweeds.,min
Hamsters only have teeth.,hamsters only have teeth.,min
Caterpillars feed on corn stalks.,caterpillars feed on corn stalks.,min
Rats live for months.,rats live for months.,min
Bears consume flowers.,bears consume flowers.,min
Deer thrive in habitats.,deer thrive in habitats.,min
Human lice have larval stages.,human lice have larval stages.,min
Rats affect spermatogenesises.,rats affect spermatogenesises.,min
Rabbits feed in environments.,rabbits feed in environments.,min
Dogs survive in natural habitats.,dogs survive in natural habitats.,min
Female monkeys have infants.,female monkeys have infants.,min
Male gorillas have bonds.,male gorillas have bonds.,min
Chimpanzees throw objects.,chimpanzees throw objects.,min
Cellular respiration involves breakdowns.,cellular respiration involves breakdowns.,min
Bats feed on pollen.,bats feed on pollen.,min
Anteaters use front claws.,anteaters use front claws.,min
Bears live in safety.,bears live in safety.,min
Nutrias have large incisors.,nutrias have large incisors.,min
Caterpillars reach size.,caterpillars reach size.,min
Dogs have white or tan markings on their legs and underbellies.,dogs have white or tan markings on their legs and underbellies.,min
Epileptic dogs have fewer seizures.,epileptic dogs have fewer seizures.,min
Bears live in woodlands.,bears live in woodlands.,min
Walruses live in a herd while others live alone.,walruses live in a herd while others live alone.,min
Pigs have gastrointestinal tracts.,pigs have gastrointestinal tracts.,min
Male walruses reach sexual maturity.,male walruses reach sexual maturity.,min
Antioxidants are specialized enzymes such as glutathione.,antioxidants are specialized enzymes such as glutathione.,min
Bats eat pollen.,bats eat pollen.,min
Weasels eat birds.,weasels eat birds.,min
Oxytocins are produced by pituitary glands.,oxytocins are produced by pituitary glands.,min
Fly squirrels use hollow tree cavities.,fly squirrels use hollow tree cavities.,min
Foxes eat birds.,foxes eat birds.,min
Porpoises have noses.,porpoises have noses.,min
Monkeys hide in environments.,monkeys hide in environments.,min
Anteaters have pouches.,anteaters have pouches.,min
Toxic substances accumulate in blood.,toxic substances accumulate in blood.,min
Wild boars eat small reptiles.,wild boars eat small reptiles.,min
Bottlenose dolphins reach ages.,bottlenose dolphins reach ages.,min
Gerbils hide in sand.,gerbils hide in sand.,min
Squirrels can have babies.,squirrels can have babies.,min
Caterpillars depend on environments.,caterpillars depend on environments.,min
Dogs kill prey.,dogs kill prey.,min
Bats sleep during the winter months just like bears do.,bats sleep during the winter months just like bears do.,min
Capybaras have mass.,capybaras have mass.,min
Chimpanzees hunt red colobus monkeys.,chimpanzees hunt red colobus monkeys.,min
Vertebrates make tubes.,vertebrates make tubes.,min
Toxic substances accumulate in tissue.,toxic substances accumulate in tissue.,min
Respiration produces lactic acid.,respiration produces lactic acid.,min
Dogs eat squirrels.,dogs eat squirrels.,min
Chimpanzees have tails.,chimpanzees have tails.,min
Parathyroid glands are behind glands.,parathyroid glands are behind glands.,min
Toxic compounds cause death.,toxic compounds cause death.,min
Cheetahs possess litter.,cheetahs possess litter.,min
Brown bears reach ages.,brown bears reach ages.,min
Organic peroxides are dangerously reactive.,organic peroxides are dangerously reactive.,min
Genetic disorder causes cysts.,genetic disorder causes cysts.,min
Oxygen is produced by autotrophs.,oxygen is produced by autotrophs.,min
Piglets feed with diets.,piglets feed with diets.,min
Caterpillars possess hair.,caterpillars possess hair.,min
Prairie dogs live in colonies.,prairie dogs live in colonies.,min
Squirrels live in environments.,squirrels live in environments.,min
Cats eat whole animals.,cats eat whole animals.,min
Walruses rely on sea ice.,walruses rely on sea ice.,min
Guinea pigs have gastrointestinal tracts.,guinea pigs have gastrointestinal tracts.,min
Mice hide in wood.,mice hide in wood.,min
Pygmy marmosets have claws.,pygmy marmosets have claws.,min
Gorillas hide food.,gorillas hide food.,min
Sperm whales eat sharks.,sperm whales eat sharks.,min
Pigeons possess glucose.,pigeons possess glucose.,min
Wild boars eat reptiles.,wild boars eat reptiles.,min
Sea otters have blubber.,sea otters have blubber.,min
Harp seals have membranes.,harp seals have membranes.,min
Squirrels emerge from hibernation.,squirrels emerge from hibernation.,min
Otters play in ponds.,otters play in ponds.,min
Squirrels seek water.,squirrels seek water.,min
Wombats leave burrows.,wombats leave burrows.,min
Toxic substances kill other animals.,toxic substances kill other animals.,min
Humans kill mature animals.,humans kill mature animals.,min
Vertebrates appear to depend on pristine habitats such as ancient forests.,vertebrates appear to depend on pristine habitats such as ancient forests.,min
Dietary carbohydrates are consumed by apes.,dietary carbohydrates are consumed by apes.,min
Leaf shapes are part of foliage.,leaf shapes are part of foliage.,min
Fruit bats eat seeds.,fruit bats eat seeds.,min
Bears survive for months.,bears survive for months.,min
Elephants possess trunks.,elephants possess trunks.,min
Coyotes live in landscapes.,coyotes live in landscapes.,min
